org_id,week1_activities,week2_activities,week3_activities,week4_activities,total_activities,converted,trial_start_date,trial_end_date
00456fd86311b6095ad05f7e31758f0d,6,0,0,0,6,0,2024-01-11,2024-02-10
007d48a2bc006e6eac0348c788d26dfd,5,0,0,0,5,0,2024-03-16,2024-04-15
00f00e783ff21fd62404d10ced5cd45f,6,0,0,0,6,0,2024-03-25,2024-04-24
014d8cdf08111d7442887a4704b47caa,14,0,0,0,14,0,2024-02-11,2024-03-12
014f83e0deae3ac42041a126f1022974,124,0,29,13,166,1,2024-03-19,2024-04-18
01546aab771c035a82fad535398ea828,2,0,50,0,52,0,2024-03-05,2024-04-04
0169dad72560ef57cf45c60e7292ba09,29,0,0,0,29,0,2024-02-02,2024-03-03
016d30d71ff7cb5287de6c2dc578b889,64,0,0,0,64,0,2024-02-25,2024-03-26
01842569c6942b80bce161f32bbfd53d,81,20,5,67,173,1,2024-03-12,2024-04-11
018df05a737bec235e219ef3a15e2dc2,15,0,0,0,15,0,2024-01-09,2024-02-08
01bebb2d7ba153849b57477e476841c8,12,0,0,0,12,0,2024-03-25,2024-04-24
01c797551fa75279d472dc09736e92d1,4,0,0,0,4,0,2024-01-11,2024-02-10
01ec7118bdcdc09ada1647e6bd215f31,4,0,0,0,4,0,2024-01-31,2024-03-01
01f5d8504faeac5ba7283bbb28e752c5,3,0,0,0,3,0,2024-01-13,2024-02-12
01f72f7e769498606ab1cc67d4869793,0,81,62,53,196,1,2024-03-21,2024-04-20
021a7bf9da9474f132b76b4bafb9f3de,3,0,0,0,3,0,2024-01-12,2024-02-11
0230aaa200a6c33b10c198297beb8478,133,6,52,18,209,1,2024-03-12,2024-04-11
024847dac7c181bcb49c774b053ef892,30,5,0,0,35,1,2024-01-25,2024-02-24
025bc08842ce8b8ea81b68ec6dcda4fe,4,0,0,0,4,0,2024-01-10,2024-02-09
027d83bb7f1fc8937c6fcb03c211d29d,8,0,0,0,8,0,2024-03-10,2024-04-09
028a1ac6516864ebe65ce5fb705a27b4,17,1,0,0,18,0,2024-03-25,2024-04-24
029734f906ca5ce1dce0e8db457bb9f3,8,0,0,0,8,0,2024-03-06,2024-04-05
02cb9bcda44cd09d79615be9f8d86e84,17,0,0,0,17,0,2024-02-02,2024-03-03
